,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin B-6 mg,Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids Cholesterol mg
Goose_liver_raw,71.78,133.0,556.0,16.37,4.28,1.25,6.32,0.0,43.0,30.53,24.0,261.0,230.0,140.0,3.07,7.522,0.0,4.5,0.562,0.892,6.5,0.76,54.0,9309.0,9309.0,30998.0,515.0
Chicken_broilers_or_fryers_leg_meat_only_raw,76.41,120.0,501.0,19.16,4.22,0.95,0.0,0.0,10.0,0.78,23.0,180.0,238.0,96.0,1.76,0.06,0.017,0.0,0.087,0.179,5.578,0.406,0.57,10.0,10.0,32.0,91.0
Emu_flat_fillet_raw,75.4,102.0,425.0,22.25,0.74,0.93,0.0,0.0,3.0,5.0,31.0,229.0,240.0,150.0,3.0,0.205,0.028,0.0,0.245,0.414,6.786,0.582,6.12,0.0,0.0,0.0,71.0
Ruffed_Grouse_breast_meat_skinless_raw,72.93,112.0,467.0,25.94,0.88,1.07,0.0,0.0,5.0,0.58,32.0,229.0,311.0,50.0,0.51,0.058,0.016,0.0,0.042,0.28,11.6,1.275,2.9,5.0,5.0,16.0,40.0
Chicken_broilers_or_fryers_thigh_meat_and_skin_raw,66.47,221.0,926.0,16.52,16.61,0.81,0.25,0.0,7.0,0.68,18.0,157.0,204.0,81.0,1.29,0.054,0.013,0.0,0.073,0.145,4.625,0.347,0.62,23.0,23.0,78.0,98.0
Quail_meat_and_skin_raw,69.65,192.0,803.0,19.63,12.05,0.9,0.0,0.0,13.0,3.97,23.0,275.0,216.0,53.0,2.42,0.507,0.019,6.1,0.244,0.26,7.538,0.6,0.43,73.0,73.0,243.0,76.0
Chicken_broilers_or_fryers_giblets_raw,74.87,124.0,519.0,17.88,4.47,0.99,1.8,0.0,10.0,5.86,18.0,197.0,228.0,77.0,3.32,0.243,0.149,16.2,0.088,0.987,6.662,0.42,11.41,2657.0,2657.0,8847.0,262.0
Chicken_stewing_meat_only_raw,72.54,148.0,619.0,21.26,6.32,1.27,0.0,0.0,10.0,1.09,24.0,209.0,251.0,79.0,1.4,0.089,0.019,3.3,0.149,0.207,7.477,0.44,0.38,32.0,32.0,105.0,63.0
Ostrich_inside_strip_raw,74.16,127.0,532.0,23.69,2.87,1.22,0.0,0.0,5.0,4.2,23.0,226.0,330.0,76.0,3.98,0.145,0.019,0.0,0.213,0.312,5.129,0.557,5.4,0.0,0.0,0.0,73.0
Turkey_dark_meat_from_whole_meat_only_with_added_solution_raw,75.86,115.0,479.0,19.27,4.12,1.19,0.1,0.0,15.0,0.9,21.0,191.0,226.0,167.0,2.68,0.106,0.01,0.0,0.06,0.247,5.745,0.425,2.05,13.0,13.0,43.0,79.0
Chicken_dark_meat_thigh_meat_and_skin_with_added_solution_raw,68.63,197.0,826.0,16.56,14.58,0.9,0.0,0.0,8.0,0.57,16.0,147.0,191.0,151.0,1.24,0.046,0.008,0.0,0.071,0.176,4.458,0.331,0.6,22.0,22.0,72.0,95.0
Turkey_all_classes_wing_meat_and_skin_raw,66.49,197.0,824.0,20.22,12.32,0.81,0.0,0.0,14.0,1.26,21.0,165.0,240.0,55.0,1.54,0.077,0.017,0.0,0.05,0.11,4.425,0.41,0.39,3.0,3.0,11.0,70.0
Chicken_broilers_or_fryers_light_meat_meat_only_raw,74.86,114.0,477.0,23.2,1.65,0.98,0.0,0.0,12.0,0.73,27.0,187.0,239.0,68.0,0.97,0.04,0.018,0.0,0.068,0.092,10.604,0.54,0.38,8.0,8.0,27.0,58.0
Goose_domesticated_meat_only_raw,68.3,161.0,674.0,22.75,7.13,1.1,0.0,0.0,13.0,2.57,24.0,312.0,420.0,87.0,2.34,0.306,0.024,7.2,0.129,0.377,4.278,0.64,0.49,12.0,12.0,40.0,84.0
Chicken_capons_giblets_raw,74.12,130.0,544.0,18.28,5.18,1.0,1.42,0.0,10.0,6.25,18.0,207.0,226.0,77.0,3.38,0.268,0.163,18.4,0.097,1.119,6.984,0.47,12.95,4374.0,4374.0,14566.0,292.0
Guinea_hen_meat_only_raw,74.44,110.0,460.0,20.64,2.47,1.25,0.0,0.0,11.0,0.77,24.0,169.0,220.0,69.0,1.2,0.044,0.018,1.7,0.067,0.112,8.782,0.47,0.37,12.0,12.0,41.0,63.0
Turkey_retail_parts_drumstick_meat_only_raw,75.67,118.0,493.0,20.52,3.97,0.91,0.0,0.0,10.0,1.18,22.0,158.0,220.0,87.0,3.12,0.082,0.006,0.0,0.051,0.3,5.003,0.361,1.9,20.0,20.0,68.0,79.0
Ostrich_outside_strip_raw,74.58,120.0,501.0,23.36,2.21,1.13,0.0,0.0,5.0,3.69,23.0,229.0,333.0,70.0,4.02,0.147,0.019,0.0,0.21,0.308,5.058,0.549,5.33,0.0,0.0,0.0,79.0
Chicken_gizzard_all_classes_raw,79.33,94.0,393.0,17.66,2.06,0.95,0.0,0.0,11.0,2.49,15.0,148.0,237.0,69.0,2.72,0.116,0.055,3.7,0.028,0.231,3.68,0.112,1.21,19.0,19.0,64.0,240.0
Pheasant_raw_meat_only,72.77,133.0,556.0,23.57,3.64,1.35,0.0,0.0,13.0,1.15,20.0,230.0,262.0,37.0,0.97,0.069,0.016,6.0,0.077,0.153,6.759,0.74,0.84,50.0,50.0,165.0,66.0
Turkey_roast_boneless_frozen_seasoned_light_and_dark_meat_raw,70.4,120.0,502.0,17.6,2.2,3.4,6.4,0.0,1.0,2.1,20.0,158.0,360.0,678.0,1.91,0.088,0.017,0.0,0.04,0.12,4.4,0.38,0.35,0.0,0.0,0.0,53.0
Chicken_broilers_or_fryers_meat_and_skin_and_giblets_and_neck_raw,66.34,213.0,891.0,18.33,14.83,0.8,0.13,0.0,11.0,1.31,20.0,149.0,189.0,70.0,1.48,0.064,0.029,2.6,0.061,0.186,6.639,0.34,1.11,232.0,232.0,771.0,90.0
Chicken_broilers_or_fryers_neck_meat_and_skin_raw,59.99,297.0,1243.0,14.07,26.24,0.55,0.0,0.0,18.0,1.9,13.0,112.0,137.0,64.0,1.86,0.08,0.033,0.0,0.047,0.191,3.608,0.17,0.26,65.0,65.0,216.0,99.0
Ostrich_oyster_raw,75.62,125.0,524.0,21.55,3.67,0.62,0.0,0.0,6.0,3.86,21.0,204.0,297.0,83.0,3.59,0.131,0.017,0.0,0.194,0.284,4.665,0.507,4.91,0.0,0.0,0.0,73.0
Emu_oyster_raw,72.57,141.0,591.0,22.81,4.86,0.95,0.0,0.0,4.0,5.5,30.0,217.0,250.0,150.0,6.0,0.194,0.027,0.0,0.271,0.458,7.499,0.643,6.76,0.0,0.0,0.0,81.0
Chicken_broilers_or_fryers_meat_only_raw,75.46,119.0,498.0,21.39,3.08,0.96,0.0,0.0,12.0,0.89,25.0,173.0,229.0,77.0,1.54,0.053,0.019,2.3,0.073,0.142,8.239,0.43,0.37,16.0,16.0,52.0,70.0
Poultry_mechanically_deboned_from_mature_hens_raw,62.95,243.0,1017.0,14.72,19.98,1.15,0.0,0.0,187.0,1.22,12.0,132.0,104.0,40.0,1.9,0.065,0.019,2.0,0.096,0.14,5.254,0.28,0.27,45.0,45.0,149.0,143.0
Turkey_from_whole_neck_meat_only_raw,75.92,125.0,523.0,16.51,6.04,1.12,0.0,0.0,24.0,1.01,15.0,160.0,133.0,233.0,3.39,0.142,0.056,0.0,0.051,0.211,4.924,0.364,1.76,13.0,13.0,43.0,115.0
Pheasant_raw_meat_and_skin,67.77,181.0,757.0,22.7,9.29,1.27,0.0,0.0,12.0,1.15,20.0,214.0,243.0,40.0,0.96,0.065,0.017,5.3,0.072,0.143,6.426,0.66,0.77,53.0,53.0,177.0,71.0
Pheasant_leg_meat_only_raw,73.4,134.0,561.0,22.2,4.3,1.44,0.0,0.0,29.0,1.78,20.0,280.0,296.0,45.0,1.53,0.108,0.02,6.0,0.07,0.21,3.7,0.74,0.84,59.0,59.0,195.0,80.0
Turkey_gizzard_all_classes_raw,77.47,111.0,463.0,18.8,3.37,0.93,0.0,0.0,16.0,2.78,19.0,164.0,185.0,147.0,3.03,0.22,0.085,6.2,0.061,0.327,6.233,0.198,3.61,46.0,46.0,154.0,271.0
Turkey_dark_meat_meat_and_skin_raw,71.1,161.0,673.0,19.81,8.97,0.94,0.15,0.0,11.0,1.0,22.0,166.0,208.0,113.0,2.32,0.085,0.014,0.0,0.055,0.229,5.378,0.391,1.84,26.0,26.0,86.0,87.0
Chicken_broilers_or_fryers_light_meat_meat_and_skin_raw,68.6,186.0,778.0,20.27,11.07,0.86,0.0,0.0,11.0,0.79,23.0,163.0,204.0,65.0,0.93,0.04,0.018,0.0,0.059,0.086,8.908,0.48,0.34,30.0,29.0,99.0,67.0
Goose_domesticated_meat_and_skin_raw,49.66,371.0,1552.0,15.86,33.62,0.87,0.0,0.0,12.0,2.5,18.0,234.0,308.0,73.0,1.72,0.27,0.02,4.2,0.085,0.245,3.608,0.39,0.34,17.0,17.0,55.0,80.0
Chicken_broilers_or_fryers_breast_meat_and_skin_raw,69.46,172.0,720.0,20.85,9.25,1.01,0.0,0.0,11.0,0.74,25.0,174.0,220.0,63.0,0.8,0.039,0.018,0.0,0.063,0.085,9.908,0.53,0.34,24.0,24.0,83.0,64.0
Chicken_roasting_giblets_raw,74.73,127.0,531.0,18.14,5.04,0.95,1.14,0.0,10.0,5.4,17.0,184.0,227.0,77.0,3.39,0.218,0.13,13.1,0.08,0.818,6.208,0.36,9.4,2880.0,2880.0,9592.0,236.0
Turkey_back_from_whole_bird_meat_only_with_added_solution_raw,75.86,115.0,480.0,19.27,4.12,1.19,0.15,0.0,15.0,0.9,21.0,191.0,226.0,167.0,2.68,0.106,0.01,0.0,0.06,0.247,5.745,0.425,2.05,13.0,13.0,43.0,79.0
Guinea_hen_meat_and_skin_raw,68.9,158.0,661.0,23.4,6.45,1.25,0.0,0.0,11.0,0.84,22.0,153.0,193.0,67.0,1.13,0.043,0.018,1.3,0.059,0.102,7.667,0.38,0.34,28.0,28.0,92.0,74.0
Ground_turkey_fat_free_raw,74.66,112.0,468.0,23.57,1.95,1.15,0.0,0.0,3.0,0.77,29.0,227.0,295.0,51.0,1.76,0.058,0.006,0.0,0.062,0.105,9.708,0.857,0.51,7.0,7.0,25.0,55.0
Chicken_roasting_meat_only_raw,74.94,111.0,464.0,20.33,2.7,1.07,0.0,0.0,10.0,1.03,23.0,198.0,238.0,75.0,1.19,0.05,0.018,0.0,0.069,0.134,7.875,0.42,0.36,13.0,13.0,45.0,65.0
Ground_turkey_85%_lean_15%_fat_raw,69.74,180.0,755.0,16.9,12.54,0.96,0.0,0.0,33.0,1.32,19.0,179.0,202.0,54.0,2.75,0.123,0.009,0.0,0.067,0.177,5.075,0.485,1.3,30.0,30.0,101.0,78.0
Emu_inside_drum_raw,74.73,108.0,453.0,22.22,1.49,1.15,0.0,0.0,4.0,5.23,26.0,229.0,318.0,102.0,4.33,0.205,0.028,0.0,0.42,0.446,7.304,0.626,2.26,5.0,5.0,17.0,67.0
Turkey_thigh_from_whole_bird_meat_only_with_added_solution_raw,75.86,115.0,480.0,19.27,4.12,1.19,0.15,0.0,15.0,0.9,21.0,191.0,226.0,167.0,2.68,0.106,0.01,0.0,0.06,0.247,5.745,0.425,2.05,13.0,13.0,43.0,79.0
Turkey_retail_parts_breast_meat_and_skin_with_added_solution_raw,72.76,144.0,603.0,20.79,6.75,1.13,0.03,0.0,9.0,0.43,23.0,171.0,221.0,126.0,1.07,0.043,0.005,0.0,0.045,0.148,9.171,0.756,0.4,15.0,15.0,50.0,64.0
Chicken_broilers_or_fryers_dark_meat_meat_only_raw,75.99,125.0,523.0,20.08,4.31,0.94,0.0,0.0,12.0,1.03,23.0,162.0,222.0,85.0,2.0,0.063,0.021,3.1,0.077,0.184,6.246,0.33,0.36,22.0,22.0,72.0,80.0
Turkey_breast_from_whole_bird_meat_only_with_added_solution_raw,76.42,102.0,425.0,21.54,1.66,1.42,0.14,0.0,14.0,0.54,25.0,236.0,242.0,206.0,1.3,0.052,0.007,0.0,0.033,0.145,9.924,0.775,0.63,6.0,6.0,20.0,54.0
Chicken_stewing_meat_and_skin_raw,61.84,258.0,1079.0,17.55,20.33,1.04,0.0,0.0,10.0,1.04,20.0,172.0,204.0,71.0,1.19,0.074,0.019,0.0,0.114,0.167,6.262,0.33,0.32,52.0,52.0,178.0,71.0
Duck_wild_meat_and_skin_raw,66.52,211.0,883.0,17.42,15.2,1.16,0.0,0.0,5.0,4.16,20.0,168.0,249.0,56.0,0.77,0.312,0.019,5.2,0.351,0.269,3.317,0.53,0.65,26.0,26.0,88.0,80.0
Duck_wild_breast_meat_only_raw,75.51,123.0,515.0,19.85,4.25,1.33,0.0,0.0,3.0,4.51,22.0,186.0,268.0,57.0,0.74,0.33,0.019,6.2,0.416,0.31,3.444,0.63,0.76,16.0,16.0,53.0,77.0
Chicken_roasting_meat_and_skin_and_giblets_and_neck_raw,65.98,213.0,891.0,17.09,15.46,0.86,0.09,0.0,10.0,1.37,19.0,165.0,196.0,69.0,1.28,0.06,0.027,2.4,0.059,0.171,6.427,0.32,0.99,253.0,253.0,843.0,86.0
Quail_breast_meat_only_raw,71.67,123.0,515.0,22.59,2.99,1.27,0.0,0.0,10.0,2.31,28.0,228.0,260.0,55.0,2.7,0.433,0.018,5.1,0.24,0.243,8.2,0.53,0.47,11.0,11.0,37.0,58.0
