,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin B-6 mg,Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids Cholesterol mg
Turkey_whole_meat_and_skin_with_added_solution_raw,71.26,158.0,662.0,19.03,9.1,1.21,0.15,0.0,14.0,0.67,21.0,195.0,211.0,180.0,1.68,0.069,0.008,0.0,0.039,0.17,7.246,0.54,1.16,23.0,23.0,78.0,70.0
Chicken_stewing_light_meat_meat_only_raw,73.24,137.0,573.0,23.1,4.21,1.1,0.0,0.0,11.0,0.92,26.0,231.0,261.0,53.0,0.6,0.067,0.018,1.8,0.132,0.123,9.915,0.57,0.4,21.0,21.0,70.0,47.0
Chicken_liver_all_classes_raw,76.46,119.0,496.0,16.92,4.83,1.06,0.73,0.0,8.0,8.99,19.0,297.0,230.0,71.0,2.67,0.492,0.255,17.9,0.305,1.778,9.728,0.853,16.58,3296.0,3290.0,11078.0,345.0
Turkey_retail_parts_breast_meat_only_with_added_solution_raw,75.95,111.0,463.0,21.99,2.53,1.19,0.0,0.0,8.0,0.41,25.0,181.0,237.0,124.0,1.1,0.043,0.005,0.0,0.049,0.155,10.0,0.84,0.33,5.0,5.0,17.0,60.0
Turkey_retail_parts_wing_meat_only_raw,75.05,112.0,470.0,22.48,2.49,0.94,0.0,0.0,6.0,0.6,19.0,147.0,222.0,69.0,2.61,0.047,0.005,0.0,0.038,0.127,6.377,0.705,0.92,5.0,5.0,17.0,66.0
Chicken_dark_meat_drumstick_meat_and_skin_with_added_solution_raw,73.79,146.0,612.0,18.03,8.24,0.94,0.0,0.0,8.0,0.69,15.0,135.0,179.0,150.0,1.8,0.057,0.009,0.0,0.089,0.217,4.612,0.346,0.45,15.0,15.0,50.0,95.0
Chicken_broilers_or_fryers_leg_meat_and_skin_raw,67.3,214.0,897.0,16.37,15.95,0.81,0.17,0.0,9.0,0.69,19.0,155.0,203.0,84.0,1.47,0.054,0.016,0.2,0.073,0.141,4.733,0.318,0.56,28.0,28.0,92.0,93.0
Quail_meat_only_raw,70.03,134.0,561.0,21.76,4.53,1.32,0.0,0.0,13.0,4.51,25.0,307.0,237.0,51.0,2.7,0.594,0.019,7.2,0.283,0.285,8.2,0.53,0.47,17.0,17.0,57.0,70.0
Turkey_breast_from_whole_bird_meat_only_raw,74.89,114.0,479.0,23.66,1.48,1.04,0.14,0.0,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,0.0,0.042,0.145,9.924,0.813,0.63,6.0,6.0,20.0,57.0
Ostrich_tip_trimmed_raw,76.12,114.0,477.0,21.85,2.3,0.61,0.0,0.0,5.0,2.86,22.0,213.0,310.0,67.0,3.74,0.137,0.018,0.0,0.196,0.288,4.73,0.514,4.98,0.0,0.0,0.0,72.0
Turkey_from_whole_light_meat_raw,74.89,114.0,479.0,23.66,1.48,1.04,0.14,0.0,11.0,0.73,28.0,201.0,242.0,113.0,1.28,0.07,0.011,0.0,0.042,0.145,9.924,0.813,0.63,6.0,6.0,20.0,57.0
Ostrich_top_loin_raw,75.35,119.0,498.0,21.67,2.95,0.73,0.0,0.0,6.0,3.13,22.0,214.0,312.0,81.0,3.76,0.137,0.018,0.0,0.195,0.286,4.691,0.509,4.94,0.0,0.0,0.0,75.0
