,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_plate_steak_boneless_outside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",63.96,222.0,929.0,18.43,16.31,0.94,0.36,0.0,6.0,3.63,63.0,0.0,6.705,0.009,0.416,3.43,2.557,7.137,0.419,6.422,0.813,0.67,0.026,0.073,70.0
Beef_New_Zealand_imported_brisket_navel_end_separable_lean_only_raw,67.95,194.0,810.0,19.74,12.75,0.84,0.0,0.0,5.0,1.4,66.0,0.0,4.351,0.007,0.312,2.659,1.216,5.484,0.615,4.705,0.385,0.249,0.076,0.015,53.0
Beef_New_Zealand_imported_rump_centre_separable_lean_and_fat_raw,71.87,145.0,607.0,21.65,6.5,0.97,0.0,0.0,4.0,2.29,49.0,0.0,2.2,0.003,0.098,1.173,0.824,2.199,0.152,2.015,0.304,0.147,0.07,0.025,55.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",60.8,255.0,1068.0,18.13,20.31,0.85,0.0,0.0,10.0,1.74,56.0,0.0,9.097,0.016,0.62,4.849,3.174,9.717,0.667,8.691,0.907,0.798,0.029,0.044,69.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",68.6,179.0,747.0,20.1,10.9,0.9,0.0,0.0,7.0,2.74,78.0,0.0,3.93,0.008,0.27,2.309,1.209,5.626,0.373,5.053,0.366,0.319,0.016,0.03,68.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",68.11,182.0,762.0,18.99,11.64,0.9,0.36,0.0,11.0,2.38,76.0,0.0,4.831,0.0,0.319,2.602,1.747,5.643,0.359,5.093,0.579,0.504,0.022,0.052,69.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_only_trimmed_to_0""_fat_select_raw",70.4,153.0,641.0,21.61,7.41,0.97,0.0,0.0,6.0,1.76,66.0,0.0,2.765,0.005,0.188,1.568,0.887,3.212,0.241,2.824,0.38,0.298,0.009,0.045,63.0
Beef_variety_meats_and_by-products_liver_raw,70.81,135.0,564.0,20.36,3.63,1.31,3.89,0.0,5.0,4.9,69.0,1.3,1.233,0.0,0.015,0.312,0.862,0.479,0.036,0.423,0.465,0.299,0.016,0.141,275.0
"Beef_round_top_round_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",68.73,173.0,724.0,22.24,8.67,1.07,0.0,0.0,3.0,2.04,51.0,0.0,3.3,0.01,0.23,1.95,0.99,3.59,0.34,3.16,0.38,0.27,0.05,0.05,59.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",73.09,124.0,519.0,23.27,3.44,1.09,0.0,0.0,13.0,1.45,53.0,0.0,1.276,0.002,0.084,0.734,0.398,1.482,0.116,1.305,0.25,0.178,0.007,0.036,60.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",68.0,176.0,738.0,21.34,10.08,1.01,0.06,0.0,13.0,2.07,61.0,0.0,4.122,0.006,0.284,2.302,1.383,4.683,0.336,4.205,0.563,0.479,0.024,0.044,66.0
Beef_Australian_imported_grass-fed_loin_top_sirloin_cap-off_steakslashroast_boneless_separable_lean_only_raw,74.1,122.0,512.0,21.9,3.87,1.11,0.0,0.0,5.0,2.53,60.0,0.0,1.601,0.005,0.079,0.843,0.597,1.495,0.093,1.385,0.338,0.166,0.045,0.062,54.0
"Beef_short_loin_porterhouse_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",64.67,214.0,897.0,20.49,14.06,0.94,0.0,0.0,19.0,1.98,48.0,0.0,5.981,0.011,0.416,3.31,1.983,6.549,0.491,5.803,0.659,0.56,0.026,0.038,61.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",70.58,152.0,638.0,20.87,7.67,0.94,0.0,0.0,15.0,2.31,81.0,0.0,3.419,0.0,0.202,1.86,1.245,4.071,0.254,3.692,0.378,0.322,0.016,0.04,70.0
"Beef_loin_top_sirloin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.67,128.0,535.0,23.04,3.98,1.06,0.0,0.0,5.0,2.24,65.0,0.0,1.285,0.002,0.081,0.747,0.412,1.704,0.106,1.554,0.125,0.098,0.005,0.019,69.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",73.3,128.0,534.0,21.13,4.79,1.19,0.0,0.0,11.0,2.43,80.0,0.0,2.059,0.0,0.118,1.143,0.726,2.457,0.155,2.229,0.377,0.315,0.002,0.06,67.0
Beef_New_Zealand_imported_brisket_navel_end_separable_lean_and_fat_raw,53.33,345.0,1442.0,15.81,31.27,0.61,0.0,0.0,9.0,1.11,54.0,0.0,12.915,0.021,0.777,6.229,5.369,10.892,0.91,9.76,0.766,0.499,0.211,0.01,62.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",71.12,152.0,635.0,20.07,7.94,0.99,0.0,0.0,12.0,2.5,81.0,0.0,3.462,0.0,0.219,1.929,1.199,4.207,0.272,3.803,0.43,0.358,0.011,0.058,68.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.04,143.0,597.0,21.78,6.16,1.11,0.0,0.0,13.0,2.55,45.0,0.0,2.123,0.004,0.136,1.183,0.698,2.338,0.163,2.089,0.45,0.346,0.012,0.06,60.0
"Beef_short_loin_top_loin_steak_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",72.68,133.0,558.0,23.07,3.88,0.99,0.0,0.0,23.0,1.63,57.0,0.0,1.432,0.0,0.098,0.86,0.475,1.559,0.12,1.437,0.168,0.135,0.009,0.024,40.0
"Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.32,155.0,648.0,22.32,6.6,1.02,0.0,0.0,18.0,2.07,51.0,0.0,2.557,0.005,0.167,1.459,0.814,2.84,0.201,2.535,0.353,0.277,0.011,0.038,58.0
Beef_Australian_imported_grass-fed_rib_ribeye_steakslashroast_lip-on_boneless_separable_lean_only_raw,70.09,160.0,668.0,21.47,8.2,0.96,0.0,0.0,5.0,1.88,65.0,0.0,3.596,0.005,0.22,2.049,1.176,3.522,0.232,3.235,0.285,0.18,0.049,0.024,50.0
Beef_New_Zealand_imported_flank_separable_lean_and_fat_raw,71.79,161.0,672.0,20.12,8.9,0.93,0.0,0.0,4.0,1.53,46.0,0.0,3.292,0.005,0.199,1.772,1.189,2.888,0.24,2.59,0.23,0.116,0.055,0.017,49.0
"Beef_round_top_round_steak_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",75.02,135.0,563.0,22.91,4.09,1.13,0.0,0.0,20.0,1.99,61.0,0.0,1.399,0.0,0.096,0.887,0.416,1.721,0.168,1.55,0.175,0.137,0.01,0.029,55.0
"Beef_round_eye_of_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",73.97,119.0,498.0,22.31,2.62,1.05,0.0,0.0,22.0,1.92,62.0,0.0,0.898,0.0,0.062,0.57,0.267,1.105,0.108,0.996,0.113,0.088,0.006,0.019,58.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.16,139.0,580.0,20.67,6.21,1.05,0.0,0.0,17.0,2.18,85.0,0.0,2.354,0.0,0.134,1.285,0.857,2.938,0.172,2.679,0.299,0.253,0.01,0.035,67.0
Beef_New_Zealand_imported_eye_round_separable_lean_only_raw,74.14,116.0,486.0,20.15,3.35,1.02,1.35,0.0,3.0,1.39,40.0,0.0,0.875,0.001,0.044,0.535,0.26,1.009,0.097,0.887,0.198,0.081,0.036,0.026,47.0
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.14,156.0,652.0,21.99,7.54,1.01,0.0,0.0,6.0,1.94,56.0,0.0,2.759,0.004,0.167,1.54,0.914,3.277,0.201,2.934,0.439,0.349,0.006,0.061,66.0
"Beef_brisket_flat_half_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",59.34,276.0,1156.0,17.77,22.21,0.8,0.0,0.0,17.0,1.5,58.0,0.0,8.963,0.048,0.702,5.396,2.746,9.511,1.083,8.396,0.845,0.544,0.266,0.036,94.0
Beef_New_Zealand_imported_inside_raw,72.35,128.0,537.0,22.16,4.36,1.03,0.1,0.0,4.0,2.27,40.0,0.0,1.528,0.002,0.075,0.873,0.511,1.541,0.123,1.391,0.228,0.101,0.05,0.024,55.0
Beef_variety_meats_and_by-products_brain_raw,76.29,143.0,600.0,10.86,10.3,1.51,1.05,0.0,43.0,2.55,126.0,10.7,2.3,0.0,0.026,0.919,1.273,1.89,0.021,1.646,1.586,0.041,0.0,0.319,3010.0
Beef_variety_meats_and_by-products_suet_raw,4.0,854.0,3573.0,1.5,94.0,0.1,0.0,0.0,2.0,0.17,7.0,0.0,52.3,0.07,2.8,22.57,24.68,31.52,2.18,28.86,3.17,2.15,0.86,0.0,68.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",71.58,139.0,584.0,22.15,5.54,1.05,0.08,0.0,13.0,2.08,60.0,0.0,2.151,0.002,0.137,1.228,0.707,2.563,0.18,2.304,0.307,0.244,0.009,0.041,63.0
Beef_New_Zealand_imported_flat_separable_lean_only_raw,70.81,154.0,646.0,21.3,7.69,0.92,0.0,0.0,5.0,1.9,50.0,0.0,2.525,0.004,0.149,1.48,0.784,3.144,0.313,2.756,0.328,0.157,0.073,0.029,55.0
"Beef_chuck_blade_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",59.93,265.0,1109.0,16.98,21.31,0.81,0.0,0.0,10.0,2.01,67.0,0.0,8.59,0.05,0.68,5.15,2.65,9.36,1.04,8.28,0.78,0.52,0.23,0.03,72.0
Beef_brisket_whole_separable_lean_only_all_grades_raw,70.29,155.0,649.0,20.72,7.37,1.02,0.0,0.0,5.0,1.92,79.0,0.0,2.59,0.0,0.22,1.63,0.73,3.46,0.35,3.1,0.23,0.18,0.02,0.03,62.0
"Beef_shoulder_top_blade_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.35,133.0,557.0,20.39,5.73,1.25,0.0,0.0,12.0,2.51,87.0,0.0,2.472,0.0,0.152,1.385,0.85,2.88,0.189,2.608,0.375,0.316,0.009,0.049,71.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",69.93,154.0,645.0,21.85,7.41,0.98,0.0,0.0,6.0,1.94,56.0,0.0,2.759,0.004,0.167,1.54,0.914,3.277,0.201,2.934,0.439,0.349,0.006,0.061,66.0
Beef_variety_meats_and_by-products_mechanically_separated_beef_raw,59.39,276.0,1155.0,14.97,23.52,2.14,0.0,0.0,485.0,5.67,57.0,0.0,11.78,0.04,0.64,5.66,4.87,8.44,0.56,7.59,0.76,0.59,0.17,0.0,209.0
"Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.4,116.0,487.0,23.59,2.45,1.12,0.0,0.0,13.0,2.34,55.0,0.0,0.92,0.002,0.05,0.519,0.308,1.003,0.064,0.908,0.21,0.145,0.003,0.036,63.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",71.41,140.0,587.0,21.13,6.07,1.08,0.31,0.0,12.0,2.34,81.0,0.0,2.58,0.0,0.17,1.473,0.852,3.16,0.23,2.824,0.31,0.265,0.002,0.042,66.0
