,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_plate_steak_boneless_outside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",63.17,232.0,969.0,17.98,17.59,0.91,0.35,0.0,6.0,3.42,65.0,0.0,7.138,0.009,0.439,3.661,2.706,7.73,0.451,6.959,0.869,0.718,0.028,0.076,71.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",67.4,191.0,800.0,19.9,12.4,0.9,0.0,0.0,6.0,2.41,80.0,0.0,4.619,0.009,0.3,2.679,1.486,6.5,0.435,5.832,0.406,0.352,0.019,0.034,68.0
Beef_New_Zealand_imported_chuck_eye_roll_separable_lean_only_raw,73.5,131.0,546.0,20.46,5.41,0.95,0.0,0.0,4.0,2.04,56.0,0.0,1.756,0.002,0.084,0.949,0.652,1.996,0.152,1.811,0.248,0.106,0.051,0.027,61.0
"Beef_brisket_flat_half_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",70.52,158.0,662.0,20.57,8.45,1.01,0.0,0.0,12.0,2.02,82.0,0.0,3.424,0.0,0.245,1.899,1.173,4.307,0.304,3.855,0.384,0.331,0.01,0.038,69.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_select_raw",71.68,135.0,565.0,23.3,4.66,1.04,0.0,0.0,14.0,1.73,47.0,0.0,1.824,0.004,0.115,1.046,0.574,2.055,0.147,1.844,0.317,0.252,0.007,0.035,62.0
"Beef_rib_large_end_(ribs_6-9)_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",54.51,316.0,1322.0,16.26,27.29,0.76,0.0,0.0,8.0,1.71,55.0,0.0,11.29,0.07,0.9,6.78,3.44,11.69,1.39,10.26,1.0,0.63,0.34,0.03,71.0
Beef_Australian_imported_Wagyu_loin_top_loin_steakslashroast_boneless_separable_lean_only_Aust._marble_score_4slash5_raw,63.07,223.0,931.0,20.15,15.69,0.89,0.2,0.0,4.0,1.85,61.0,0.0,5.909,0.011,0.444,3.534,1.659,8.022,0.593,7.263,0.441,0.362,0.023,0.038,58.0
"Beef_rib_back_ribs_bone-in_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",52.74,336.0,1404.0,15.75,29.89,0.72,0.9,0.0,9.0,1.61,53.0,0.0,13.296,0.024,0.877,6.99,4.765,14.553,0.978,13.025,1.219,1.076,0.051,0.047,76.0
Beef_New_Zealand_imported_bolar_blade_separable_lean_and_fat_raw,70.23,159.0,666.0,21.29,8.22,0.93,0.0,0.0,4.0,1.97,54.0,0.0,3.017,0.005,0.165,1.529,1.199,2.884,0.232,2.6,0.318,0.149,0.072,0.029,57.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",70.08,165.0,692.0,20.64,8.55,1.03,0.0,0.0,25.0,1.49,52.0,0.0,3.14,0.005,0.206,1.969,0.954,4.246,0.325,3.918,0.394,0.303,0.052,0.039,66.0
"Beef_rib_large_end_(ribs_6-9)_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",50.4,367.0,1536.0,15.77,33.26,0.73,0.0,0.0,8.0,1.65,53.0,0.0,13.96,0.08,1.09,8.25,4.21,14.37,1.67,12.47,1.23,0.79,0.39,0.03,73.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",69.37,174.0,728.0,20.64,9.51,1.0,0.0,0.0,25.0,1.47,51.0,0.0,3.493,0.005,0.23,2.19,1.061,4.724,0.362,4.359,0.438,0.337,0.058,0.043,68.0
Beef_Australian_imported_Wagyu_seam_fat_Aust._marble_score_9_raw,28.13,627.0,2622.0,5.16,67.33,0.22,0.0,0.0,2.0,0.91,27.0,0.0,22.467,0.033,1.597,13.31,6.566,35.158,2.405,31.829,2.164,1.894,0.192,0.027,96.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_0""_fat_select_raw",72.3,133.0,557.0,22.03,4.99,1.05,0.05,0.0,12.0,2.14,63.0,0.0,1.973,0.002,0.127,1.115,0.655,2.644,0.158,2.077,0.337,0.241,0.007,0.041,64.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",71.8,135.0,565.0,22.77,4.88,1.01,0.0,0.0,5.0,2.39,57.0,0.0,1.621,0.002,0.096,0.891,0.589,2.062,0.124,1.866,0.134,0.1,0.009,0.022,76.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.01,127.0,531.0,21.72,4.44,1.11,0.0,0.0,12.0,2.56,70.0,0.0,1.897,0.0,0.129,1.063,0.64,2.271,0.154,2.046,0.32,0.274,0.002,0.044,68.0
"Beef_ribeye_cap_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",68.53,169.0,709.0,20.05,9.39,0.88,1.15,0.0,7.0,2.95,84.0,0.0,3.626,0.004,0.221,2.125,1.176,4.082,0.254,3.715,0.344,0.274,0.014,0.056,63.0
"Beef_short_loin_top_loin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",58.42,281.0,1176.0,19.0,22.17,0.77,0.0,0.0,6.0,1.58,53.0,0.0,9.08,0.05,0.71,5.43,2.67,9.78,1.05,8.52,0.8,0.53,0.22,0.04,67.0
"Beef_top_sirloin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",64.87,214.0,895.0,19.92,14.28,0.97,0.0,0.0,25.0,1.46,51.0,0.0,5.763,0.031,0.452,3.47,1.765,6.115,0.696,5.398,0.543,0.35,0.171,0.023,78.0
"Beef_ribeye__petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",70.99,138.0,579.0,22.52,5.29,1.03,0.18,0.0,5.0,2.27,66.0,0.0,1.962,0.003,0.13,1.162,0.594,2.436,0.14,2.22,0.216,0.169,0.01,0.035,65.0
"Beef_tenderloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",70.17,158.0,663.0,22.17,7.07,1.08,0.0,0.0,28.0,1.63,57.0,0.0,2.612,0.0,0.179,1.568,0.865,2.842,0.218,2.62,0.306,0.246,0.016,0.044,66.0
Beef_New_Zealand_imported_manufacturing_beef_raw,73.84,119.0,498.0,21.23,3.68,1.02,0.23,0.0,6.0,1.95,55.0,0.0,1.65,0.001,0.079,0.728,0.772,1.219,0.09,1.112,0.226,0.103,0.063,0.019,49.0
Beef_cured_breakfast_strips_raw_or_unheated,45.2,406.0,1699.0,12.5,38.8,2.8,0.7,0.0,4.0,1.23,955.0,24.0,15.95,0.11,1.31,8.48,5.03,18.68,2.47,16.21,2.19,1.67,0.52,0.0,82.0
"Beef_round_top_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.64,124.0,519.0,23.49,3.34,1.12,0.0,0.0,13.0,2.33,54.0,0.0,1.287,0.003,0.077,0.735,0.417,1.481,0.105,1.323,0.238,0.171,0.005,0.035,62.0
Beef_variety_meats_and_by-products_spleen_raw,77.2,105.0,439.0,18.3,3.0,1.38,0.0,0.0,9.0,44.55,85.0,45.5,1.0,0.01,0.07,0.53,0.38,0.78,0.12,0.68,0.22,0.22,0.0,0.0,263.0
"Beef_short_loin_top_loin_steak_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",70.3,155.0,650.0,22.78,6.43,1.04,0.0,0.0,29.0,1.66,58.0,0.0,2.378,0.0,0.163,1.428,0.788,2.588,0.199,2.386,0.278,0.224,0.014,0.04,66.0
"Beef_rib_whole_(ribs_6-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",55.24,306.0,1280.0,16.53,26.1,0.78,0.0,0.0,9.0,1.74,55.0,0.0,10.76,0.06,0.86,6.47,3.28,11.24,1.32,9.87,0.94,0.6,0.32,0.02,70.0
"Beef_round_full_cut_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",66.62,184.0,770.0,20.56,10.68,0.98,0.0,0.0,4.0,2.0,54.0,0.0,4.2,0.02,0.33,2.57,1.25,4.62,0.55,4.06,0.41,0.26,0.12,0.02,62.0
"Beef_round_eye_of_round_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",69.31,166.0,695.0,21.49,8.24,1.01,0.0,0.0,20.0,1.81,58.0,0.0,3.245,0.018,0.252,1.98,0.969,3.561,0.42,3.13,0.315,0.205,0.093,0.016,68.0
"Beef_round_knuckle_tip_center_steak_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.45,143.0,596.0,20.93,5.89,0.96,0.0,0.0,5.0,1.96,54.0,0.0,2.163,0.0,0.16,1.304,0.605,2.336,0.172,2.123,0.312,0.253,0.011,0.049,59.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",66.7,196.0,820.0,19.17,13.26,0.98,0.0,0.0,12.0,2.19,76.0,0.0,5.726,0.0,0.41,3.115,2.02,6.568,0.432,5.912,0.576,0.506,0.019,0.044,66.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",73.17,123.0,516.0,21.64,4.09,1.13,0.0,0.0,12.0,2.64,73.0,0.0,1.653,0.0,0.104,0.933,0.56,2.086,0.146,1.874,0.296,0.245,0.001,0.05,65.0
"Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",71.46,145.0,608.0,22.61,5.41,1.03,0.0,0.0,19.0,2.26,43.0,0.0,2.051,0.005,0.143,1.169,0.635,2.15,0.158,1.909,0.285,0.218,0.008,0.034,57.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_only_trimmed_to_0""_fat_select_raw",72.96,133.0,559.0,20.52,5.71,1.01,0.0,0.0,19.0,2.21,86.0,0.0,1.61,0.0,0.093,0.863,0.601,3.67,0.209,3.359,0.37,0.312,0.013,0.044,74.0
"Beef_bottom_sirloin_tri-tip_roast_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.41,142.0,592.0,21.26,5.63,1.06,0.0,0.0,23.0,1.54,54.0,0.0,1.729,0.0,0.107,1.095,0.527,2.47,0.167,2.303,0.234,0.187,0.02,0.027,61.0
Beef_New_Zealand_imported_brisket_point_end_separable_lean_only_raw,73.75,125.0,524.0,20.92,4.62,0.96,0.0,0.0,4.0,2.06,51.0,0.0,1.648,0.003,0.099,0.984,0.497,2.279,0.235,1.989,0.264,0.117,0.049,0.032,54.0
Beef_Australian_imported_Wagyu_external_fat_Aust._marble_score_9_raw,25.17,639.0,2672.0,5.54,68.07,0.25,0.97,0.0,4.0,0.81,43.0,0.0,22.395,0.036,1.736,13.607,6.137,35.821,3.031,31.821,2.448,2.157,0.2,0.034,95.0
"Beef_rib_back_ribs_bone-in_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",61.7,239.0,1002.0,19.11,17.91,0.82,0.46,0.0,9.0,1.84,60.0,0.0,7.055,0.013,0.448,3.801,2.449,8.072,0.517,7.221,0.701,0.59,0.031,0.049,70.0
Beef_Australian_imported_Wagyu_loin_tenderloin_steakslashroast_boneless_separable_lean_only_Aust._marble_score_4slash5_raw,66.47,191.0,801.0,20.19,12.3,1.04,0.0,0.0,4.0,2.24,64.0,0.0,5.507,0.009,0.355,3.119,1.766,5.246,0.302,4.86,0.494,0.374,0.03,0.066,59.0
Beef_New_Zealand_imported_tenderloin_separable_lean_only_raw,71.79,140.0,584.0,21.19,6.1,1.05,0.0,0.0,4.0,2.21,39.0,0.0,2.446,0.003,0.103,1.127,1.107,1.762,0.108,1.632,0.251,0.098,0.062,0.026,58.0
"Beef_round_bottom_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",73.17,128.0,534.0,22.18,3.66,1.08,0.0,0.0,21.0,1.9,62.0,0.0,1.253,0.0,0.086,0.795,0.373,1.542,0.151,1.389,0.157,0.123,0.009,0.026,59.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.81,127.0,533.0,23.24,3.83,1.1,0.0,0.0,13.0,1.47,52.0,0.0,1.343,0.003,0.087,0.778,0.416,1.585,0.126,1.395,0.266,0.193,0.007,0.038,58.0
"Beef_round_top_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.93,121.0,507.0,23.44,3.04,1.11,0.0,0.0,13.0,2.34,54.0,0.0,1.151,0.003,0.067,0.645,0.385,1.262,0.085,1.135,0.231,0.164,0.004,0.036,63.0
Beef_Australian_imported_grass-fed_loin_top_loin_steakslashroast_boneless_separable_lean_and_fat_raw,66.42,199.0,831.0,19.9,13.17,0.91,0.11,0.0,5.0,1.46,60.0,0.0,5.837,0.012,0.408,3.218,1.918,5.447,0.408,4.92,0.436,0.283,0.075,0.032,46.0
"Beef_loin_top_loin_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_choice_raw",69.94,149.0,622.0,22.93,6.34,1.01,0.0,0.0,15.0,1.93,46.0,0.0,2.515,0.006,0.164,1.467,0.766,2.948,0.221,2.625,0.393,0.309,0.009,0.049,58.0
"Beef_loin_top_loin_steak_boneless_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",64.65,205.0,857.0,21.13,13.36,0.94,0.0,0.0,16.0,1.88,44.0,0.0,5.685,0.011,0.396,3.184,1.845,6.455,0.504,5.696,0.671,0.568,0.023,0.047,61.0
Beef_New_Zealand_imported_ribs_prepared_raw,71.32,146.0,612.0,21.31,6.78,0.94,0.0,0.0,15.0,1.82,54.0,0.0,2.453,0.003,0.133,1.329,0.886,2.279,0.185,2.052,0.191,0.087,0.041,0.018,57.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",68.4,170.0,712.0,21.6,9.3,1.0,0.0,0.0,7.0,2.98,85.0,0.0,2.803,0.007,0.177,1.534,0.996,3.882,0.211,3.506,0.259,0.216,0.016,0.024,76.0
Beef_variety_meats_and_by-products_tripe_raw,84.16,85.0,355.0,12.07,3.69,0.55,0.0,0.0,69.0,0.59,97.0,0.0,1.291,0.0,0.07,0.643,0.463,1.533,0.088,1.413,0.18,0.116,0.011,0.048,122.0
"Beef_round_full_cut_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",65.44,195.0,816.0,20.56,11.92,0.98,0.0,0.0,4.0,1.99,54.0,0.0,4.63,0.02,0.36,2.84,1.38,5.14,0.6,4.53,0.46,0.31,0.12,0.03,62.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",70.16,157.0,657.0,21.2,8.0,1.02,0.04,0.0,13.0,2.06,61.0,0.0,3.351,0.004,0.228,1.852,1.143,3.788,0.267,3.409,0.495,0.421,0.02,0.04,64.0
"Beef_brisket_flat_half_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",59.07,277.0,1158.0,17.94,22.18,0.81,0.0,0.0,16.0,1.59,59.0,0.0,8.951,0.048,0.701,5.389,2.742,9.498,1.082,8.385,0.844,0.543,0.265,0.036,92.0
"Beef_chuck_mock_tender_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.83,131.0,550.0,21.19,5.18,1.24,0.0,0.0,11.0,2.5,82.0,0.0,2.114,0.0,0.119,1.167,0.756,2.576,0.164,2.336,0.365,0.302,0.002,0.061,67.0
"Beef_chuck_eye_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",64.48,223.0,931.0,18.86,16.35,0.86,0.0,0.0,14.0,2.1,66.0,0.0,6.963,0.0,0.486,3.705,2.553,7.739,0.469,7.016,0.666,0.587,0.033,0.038,68.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.46,120.0,501.0,23.3,2.95,1.08,0.0,0.0,13.0,1.37,50.0,0.0,1.199,0.002,0.08,0.68,0.38,1.346,0.102,1.188,0.228,0.157,0.006,0.034,62.0
"Beef_brisket_flat_half_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.21,137.0,573.0,21.28,5.75,1.0,0.0,0.0,13.0,2.04,82.0,0.0,1.993,0.0,0.137,1.214,0.583,2.96,0.268,2.583,0.262,0.218,0.0,0.044,67.0
"Beef_rib_eye_small_end_(ribs_10-12)_separable_lean_only_trimmed_to_0""_fat_choice_raw",68.7,161.0,674.0,20.13,8.3,1.01,0.0,0.0,10.0,2.18,63.0,0.0,3.23,0.0,0.24,1.93,1.06,3.56,0.29,3.26,0.27,0.24,0.01,0.02,59.0
"Beef_chuck_shoulder_clod_shoulder_tender_medallion_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.8,144.0,602.0,20.54,6.22,0.92,0.0,0.0,5.0,1.95,58.0,0.0,2.088,0.0,0.147,1.211,0.636,2.136,0.151,1.954,0.34,0.276,0.01,0.054,57.0
"Beef_short_loin_t-bone_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",65.0,215.0,898.0,20.28,14.19,0.92,0.0,0.0,23.0,1.73,52.0,0.0,6.211,0.012,0.439,3.414,2.069,6.707,0.508,5.937,0.663,0.562,0.026,0.038,62.0
"Beef_rib_back_ribs_bone-in_separable_lean_only_trimmed_to_0""_fat_choice_raw",60.48,252.0,1053.0,18.72,19.36,0.8,0.64,0.0,8.0,1.83,61.0,0.0,7.812,0.014,0.491,4.214,2.713,8.952,0.571,8.019,0.754,0.64,0.034,0.051,72.0
"Beef_brisket_point_half_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",59.96,265.0,1109.0,17.65,20.98,0.82,0.0,0.0,6.0,1.69,72.0,0.0,8.42,0.05,0.7,5.15,2.45,9.53,1.12,8.38,0.69,0.44,0.23,0.02,71.0
"Beef_chuck_eye_roast_boneless_America's_Beef_Roast_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",68.26,185.0,773.0,19.14,12.02,0.98,0.0,0.0,17.0,2.08,80.0,0.0,5.072,0.0,0.34,2.713,1.857,5.908,0.352,5.367,0.527,0.459,0.023,0.039,67.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_prime_raw",53.22,335.0,1402.0,16.74,29.18,0.8,0.0,0.0,10.0,1.77,53.0,0.0,12.07,0.07,0.94,7.14,3.66,12.84,1.42,11.21,1.04,0.68,0.32,0.03,70.0
Beef_New_Zealand_imported_oyster_blade_separable_lean_only_raw,71.68,155.0,650.0,21.83,7.56,0.9,0.0,0.0,4.0,1.95,59.0,0.0,2.589,0.004,0.139,1.377,0.961,2.648,0.201,2.407,0.268,0.126,0.059,0.022,56.0
"Beef_round_tip_round_roast_separable_lean_only_trimmed_to_0""_fat_select_raw",74.99,122.0,508.0,21.38,3.35,1.04,0.0,0.0,20.0,1.78,58.0,0.0,1.147,0.0,0.079,0.697,0.37,1.367,0.115,1.253,0.168,0.132,0.009,0.026,55.0
Beef_variety_meats_and_by-products_thymus_raw,67.8,236.0,987.0,12.18,20.35,1.38,0.0,0.0,7.0,2.1,96.0,34.0,7.01,0.0,0.16,3.75,2.63,7.05,1.22,5.83,3.8,2.22,0.14,0.0,223.0
"Beef_chuck_shoulder_clod_shoulder_top_and_center_steaks_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.49,143.0,597.0,20.39,6.12,0.91,0.0,0.0,4.0,2.14,61.0,0.0,2.083,0.0,0.151,1.272,0.579,3.439,0.181,2.108,0.554,0.253,0.0,0.048,57.0
"Beef_chuck_short_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",68.73,175.0,732.0,19.38,10.7,0.9,0.29,0.0,11.0,2.53,81.0,0.0,4.55,0.0,0.282,2.522,1.589,5.723,0.359,5.166,0.427,0.363,0.018,0.044,73.0
"Beef_chuck_short_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",70.24,161.0,676.0,20.14,8.99,0.93,0.0,0.0,12.0,2.34,93.0,0.0,3.94,0.0,0.248,2.089,1.45,4.59,0.271,4.173,0.41,0.361,0.013,0.036,80.0
Beef_chuck_for_stew_separable_lean_and_fat_select_raw,72.79,124.0,520.0,21.9,3.99,1.12,0.21,0.0,14.0,2.2,81.0,0.0,1.748,0.0,0.106,0.959,0.627,2.16,0.146,1.951,0.287,0.236,0.003,0.045,66.0
"Beef_top_sirloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",73.31,127.0,531.0,22.27,3.54,1.19,0.0,0.0,22.0,1.61,56.0,0.0,1.307,0.0,0.089,0.784,0.433,1.422,0.109,1.311,0.167,0.123,0.008,0.022,59.0
"Beef_chuck_under_blade_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",72.3,134.0,559.0,21.03,5.41,1.07,0.19,0.0,12.0,2.43,81.0,0.0,2.572,0.0,0.165,1.456,0.863,5.868,0.22,2.777,0.615,0.285,0.0,0.044,66.0
Beef_ground_93%_lean_meat_slash_7%_fat_raw,71.72,152.0,637.0,20.85,7.0,1.02,0.0,0.0,10.0,2.33,66.0,0.0,2.878,0.006,0.185,1.559,1.011,2.866,0.23,0.348,0.292,0.216,0.04,0.035,63.0
Beef_variety_meats_and_by-products_pancreas_raw,65.2,235.0,983.0,15.7,18.6,1.3,0.0,0.0,9.0,2.22,67.0,13.7,6.41,0.0,0.15,3.43,2.4,6.44,1.11,5.33,3.47,2.03,0.13,0.8,205.0
Beef_New_Zealand_imported_hind_shin_separable_lean_and_fat_raw,71.41,147.0,616.0,20.61,7.2,0.94,0.0,0.0,5.0,1.95,61.0,0.0,2.711,0.004,0.148,1.319,1.13,2.53,0.187,2.304,0.233,0.124,0.058,0.016,57.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",71.78,140.0,587.0,22.15,5.38,1.06,0.0,0.0,17.0,1.84,56.0,0.0,1.974,0.002,0.128,1.152,0.638,2.285,0.169,2.059,0.277,0.217,0.009,0.038,62.0
"Beef_brisket_flat_half_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",69.47,169.0,708.0,20.15,9.86,0.96,0.0,0.0,13.0,1.98,79.0,0.0,3.704,0.0,0.267,2.1,1.225,4.772,0.37,4.231,0.398,0.342,0.009,0.043,67.0
Beef_Australian_imported_grass-fed_loin_tenderloin_steakslashroast_boneless_separable_lean_only_raw,72.42,138.0,579.0,20.85,6.11,1.08,0.0,0.0,4.0,2.25,63.0,0.0,2.725,0.005,0.154,1.428,0.994,2.408,0.153,2.22,0.386,0.22,0.055,0.057,49.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.58,130.0,545.0,21.39,4.97,1.13,0.0,0.0,12.0,2.62,72.0,0.0,2.033,0.0,0.133,1.132,0.701,2.497,0.171,2.247,0.326,0.272,0.003,0.049,66.0
"Beef_loin_top_loin_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",63.95,224.0,935.0,20.59,15.04,0.87,0.0,0.0,23.0,1.47,52.0,0.0,6.067,0.032,0.475,3.653,1.859,6.438,0.733,5.683,0.572,0.368,0.18,0.024,80.0
Beef_New_Zealand_imported_striploin_separable_lean_and_fat_raw,60.78,252.0,1055.0,18.49,19.53,0.76,0.6,0.0,7.0,1.38,43.0,0.0,8.064,0.012,0.507,3.993,3.236,6.937,0.571,6.228,0.515,0.304,0.143,0.016,57.0
Beef_Australian_imported_grass-fed_seam_fat_raw,31.2,562.0,2352.0,9.58,57.73,0.44,1.06,0.0,3.0,0.89,34.0,0.0,26.584,0.049,1.866,13.715,9.61,22.93,1.558,20.881,1.552,1.116,0.315,0.022,65.0
"Beef_chuck_eye_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",65.24,216.0,903.0,18.86,15.6,0.89,0.0,0.0,14.0,2.14,68.0,0.0,6.644,0.0,0.472,3.526,2.436,7.381,0.448,6.692,0.689,0.608,0.033,0.04,68.0
Beef_Australian_imported_grass-fed__external_fat_raw,36.51,509.0,2130.0,11.32,51.36,0.42,0.39,0.0,6.0,0.95,36.0,0.0,22.65,0.043,1.705,12.407,7.391,21.426,1.723,19.155,1.419,1.02,0.288,0.021,66.0
Beef_New_Zealand_imported_variety_meats_and_by-products_heart_raw,78.07,105.0,438.0,18.52,3.4,1.02,0.0,0.0,4.0,4.38,86.0,0.0,0.857,0.001,0.019,0.322,0.471,0.533,0.041,0.478,0.579,0.259,0.065,0.111,124.0
"Beef_brisket_flat_half_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",69.89,165.0,690.0,20.32,9.29,0.98,0.0,0.0,13.0,2.0,80.0,0.0,3.592,0.0,0.259,2.02,1.204,4.586,0.343,4.081,0.393,0.338,0.009,0.041,67.0
"Beef_round_tip_round_roast_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",72.62,145.0,609.0,20.8,6.28,1.01,0.0,0.0,23.0,1.59,58.0,0.0,2.489,0.014,0.195,1.504,0.757,2.699,0.314,2.375,0.247,0.162,0.076,0.01,61.0
Beef_New_Zealand_imported_chuck_eye_roll_separable_lean_and_fat_raw,68.67,181.0,755.0,19.38,11.45,0.87,0.0,0.0,6.0,1.89,53.0,0.0,4.437,0.006,0.254,2.21,1.791,4.042,0.312,3.661,0.377,0.199,0.092,0.024,61.0
"Beef_round_eye_of_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",73.18,124.0,518.0,23.35,3.38,1.1,0.0,0.0,13.0,1.47,52.0,0.0,1.137,0.002,0.072,0.666,0.346,1.353,0.107,1.191,0.248,0.176,0.007,0.038,58.0
"Beef_rib_eye_steakslashroast_bone-in_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",68.58,173.0,726.0,20.93,9.97,0.95,0.0,0.0,9.0,1.95,65.0,0.0,3.88,0.006,0.257,2.187,1.248,4.531,0.322,4.012,0.464,0.383,0.009,0.048,65.0
Beef_New_Zealand_imported_flank_separable_lean_only_raw,73.62,142.0,595.0,20.53,6.67,0.96,0.0,0.0,4.0,1.57,47.0,0.0,2.299,0.003,0.137,1.309,0.763,2.121,0.181,1.895,0.179,0.08,0.039,0.017,49.0
"Beef_chuck_arm_pot_roast_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",61.78,249.0,1043.0,19.14,18.57,0.87,0.0,0.0,16.0,1.73,63.0,0.0,7.492,0.04,0.587,4.511,2.295,7.95,0.905,7.018,0.706,0.454,0.222,0.03,89.0
"Beef_chuck_clod_roast_separable_lean_only_trimmed_to_1slash4""_fat_all_grades_raw",73.41,129.0,540.0,19.63,5.02,1.17,0.0,0.0,6.0,2.35,64.0,0.0,1.414,0.0,0.082,0.851,0.471,1.965,0.096,1.839,0.286,0.218,0.022,0.046,59.0
