,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg"
Plums_raw,87.23,46.0,192.0,0.7,0.28,0.37,11.42,6.0,0.17,16.0
Apples_raw_with_skin,85.56,52.0,218.0,0.26,0.17,0.19,13.81,6.0,0.12,11.0
Litchis_raw,81.76,66.0,276.0,0.83,0.44,0.44,16.53,5.0,0.31,31.0
Apples_raw_without_skin,86.67,48.0,200.0,0.27,0.13,0.17,12.76,5.0,0.07,11.0
Cherries_sweet_raw,82.25,63.0,263.0,1.06,0.2,0.48,16.01,13.0,0.36,21.0
Blueberries_raw,84.21,57.0,240.0,0.74,0.33,0.24,14.49,6.0,0.28,12.0
Guavas_strawberry_raw,80.66,69.0,289.0,0.58,0.6,0.8,17.36,21.0,0.22,27.0
Tamarinds_raw,31.4,239.0,1000.0,2.8,0.6,2.7,62.5,74.0,2.8,113.0
Apples_raw_red_delicious_with_skin,85.33,59.0,247.0,0.27,0.2,0.14,14.06,6.0,0.11,12.0
Papayas_raw,88.06,43.0,179.0,0.47,0.26,0.39,10.82,20.0,0.25,10.0
Loquats_raw,86.73,47.0,197.0,0.43,0.2,0.5,12.14,16.0,0.28,27.0
Acerola_juice_raw,94.3,23.0,96.0,0.4,0.3,0.2,4.8,10.0,0.5,9.0
Melons_honeydew_raw,89.82,36.0,150.0,0.54,0.14,0.41,9.09,6.0,0.17,11.0
Grapes_muscadine_raw,84.29,57.0,238.0,0.81,0.47,0.5,13.93,37.0,0.26,24.0
Groundcherries_(cape-gooseberries_or_poha)_raw,85.4,53.0,222.0,1.9,0.7,0.8,11.2,9.0,1.0,40.0
Apples_raw_without_skin_cooked_boiled,85.47,53.0,222.0,0.26,0.36,0.28,13.64,5.0,0.19,8.0
Acerola_(west_indian_cherry)_raw,91.41,32.0,134.0,0.4,0.3,0.2,7.69,12.0,0.2,11.0
Grapefruit_juice_white_raw,90.0,39.0,163.0,0.5,0.1,0.2,9.2,9.0,0.2,15.0
Pomegranates_raw,77.93,83.0,346.0,1.67,1.17,0.53,18.7,10.0,0.3,36.0
Pears_raw_bartlett,84.14,63.0,264.0,0.39,0.16,0.3,15.01,9.0,0.19,11.0
Figs_raw,79.11,74.0,310.0,0.75,0.3,0.66,19.18,35.0,0.37,14.0
Nectarines_raw,87.59,44.0,185.0,1.06,0.32,0.48,10.55,6.0,0.28,26.0
Oranges_raw_California_valencias,86.34,49.0,205.0,1.04,0.3,0.42,11.89,40.0,0.09,17.0
Durian_raw_or_frozen,64.99,147.0,615.0,1.47,5.33,1.12,27.09,6.0,0.43,39.0
Orange_peel_raw,72.5,97.0,405.0,1.5,0.2,0.8,25.0,161.0,0.8,21.0
Limes_raw,88.26,30.0,126.0,0.7,0.2,0.3,10.54,33.0,0.6,18.0
Cherries_sour_red_raw,86.13,50.0,209.0,1.0,0.3,0.4,12.18,16.0,0.32,15.0
Mangos_raw,83.46,60.0,250.0,0.82,0.38,0.36,14.98,11.0,0.16,14.0
Grapefruit_raw_pink_and_red_and_white_all_areas,90.89,32.0,134.0,0.63,0.1,0.31,8.08,12.0,0.09,8.0
Carambola_(starfruit)_raw,91.38,31.0,128.0,1.04,0.33,0.52,6.73,3.0,0.08,12.0
Sapote_mamey_raw,64.87,124.0,520.0,1.45,0.46,1.12,32.1,18.0,0.78,26.0
Lemons_raw_without_peel,88.98,29.0,121.0,1.1,0.3,0.3,9.32,26.0,0.6,16.0
Passion-fruit_(granadilla)_purple_raw,72.93,97.0,406.0,2.2,0.7,0.8,23.38,12.0,1.6,68.0
Persimmons_japanese_raw,80.32,70.0,293.0,0.58,0.19,0.33,18.59,8.0,0.15,17.0
Jackfruit_raw,73.46,95.0,397.0,1.72,0.64,0.94,23.25,24.0,0.23,21.0
Grapes_american_type_(slip_skin)_raw,81.3,67.0,280.0,0.63,0.35,0.57,17.15,14.0,0.29,10.0
Oranges_raw_all_commercial_varieties,86.75,47.0,197.0,0.94,0.12,0.44,11.75,40.0,0.1,14.0
Pitanga_(surinam-cherry)_raw,90.81,33.0,138.0,0.8,0.4,0.5,7.49,9.0,0.2,11.0
Clementines_raw,86.58,47.0,198.0,0.85,0.15,0.4,12.02,30.0,0.14,21.0
Oranges_raw_navels,85.97,49.0,207.0,0.91,0.15,0.43,12.54,43.0,0.13,23.0
Apples_raw_golden_delicious_with_skin,85.81,57.0,238.0,0.28,0.15,0.16,13.6,6.0,0.13,10.0
Tangerines_(mandarin_oranges)_raw,85.17,53.0,223.0,0.81,0.31,0.38,13.34,37.0,0.15,20.0
Longans_raw,82.75,60.0,251.0,1.31,0.1,0.7,15.14,1.0,0.13,21.0
Avocados_raw_Florida,78.81,120.0,501.0,2.23,10.06,1.08,7.82,10.0,0.17,40.0
Melons_casaba_raw,91.85,28.0,118.0,1.11,0.1,0.36,6.58,11.0,0.34,5.0
Lemon_juice_raw,92.31,22.0,91.0,0.35,0.24,0.21,6.9,6.0,0.08,8.0
Plantains_raw,65.28,122.0,510.0,1.3,0.37,1.17,31.89,3.0,0.6,34.0
Pears_raw_red_anjou,84.24,62.0,261.0,0.33,0.14,0.35,14.94,11.0,0.19,13.0
Oranges_raw_Florida,87.14,46.0,192.0,0.7,0.21,0.41,11.54,43.0,0.09,12.0
Guavas_common_raw,80.8,68.0,285.0,2.55,0.95,1.39,14.32,18.0,0.26,40.0
Pineapple_raw_all_varieties,86.0,50.0,209.0,0.54,0.12,0.22,13.12,13.0,0.29,8.0
Melons_cantaloupe_raw,90.15,34.0,141.0,0.84,0.19,0.65,8.16,9.0,0.21,15.0
Lime_juice_raw,90.79,25.0,104.0,0.42,0.07,0.31,8.42,14.0,0.09,14.0
Mulberries_raw,87.68,43.0,180.0,1.44,0.39,0.69,9.8,39.0,1.85,38.0
Avocados_raw_California,72.33,167.0,697.0,1.96,15.41,1.66,8.64,13.0,0.61,54.0
Sugar-apples_(sweetsop)_raw,73.23,94.0,393.0,2.06,0.29,0.78,23.64,24.0,0.6,32.0
Kumquats_raw,80.85,71.0,296.0,1.88,0.86,0.52,15.9,62.0,0.86,19.0
Carissa_(natal-plum)_raw,84.17,62.0,259.0,0.5,1.3,0.4,13.63,11.0,1.31,7.0
Cherimoya_raw,79.39,75.0,313.0,1.57,0.68,0.65,17.71,10.0,0.27,26.0
Gooseberries_raw,87.87,44.0,184.0,0.88,0.58,0.49,10.18,25.0,0.31,27.0
