,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Pork_fresh_loin_center_rib_(chops_or_roasts)_bone-in_separable_lean_only_raw,72.4,136.0,570.0,21.79,4.8,1.01,0.0,0.0,24.0,0.61,25.0,216.0,359.0,60.0,1.97,0.068,0.009,38.3,0.0,0.484,0.186,6.685,0.725,0.735,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.058,1.01,0.525,1.999,0.122,1.846,0.524,0.449,0.018,0.039,56.0
Pork_ground_96%_lean__slash__4%_fat_raw,73.62,121.0,507.0,21.1,4.0,1.07,0.21,0.0,15.0,0.86,19.0,190.0,310.0,67.0,1.93,0.033,0.01,34.8,0.0,0.414,0.368,7.914,0.646,0.668,2.0,0.0,2.0,2.0,0.64,0.0,0.0,0.0,0.052,0.883,0.454,1.89,0.114,1.756,0.66,0.547,0.027,0.068,59.0
Pork_fresh_leg_(ham)_rump_half_separable_lean_only_raw,74.78,120.0,500.0,21.81,2.93,1.12,0.0,0.0,12.0,0.67,22.0,235.0,359.0,76.0,1.85,0.08,0.01,21.2,0.0,0.545,0.34,6.042,0.658,0.557,0.0,0.0,0.0,0.0,0.36,2.0,2.0,7.0,0.035,0.591,0.314,1.148,0.063,1.067,0.615,0.513,0.015,0.067,62.0
Pork_fresh_loin_blade_(chops_or_roasts)_boneless_separable_lean_only_raw,72.94,123.0,513.0,21.35,3.78,1.11,0.82,0.0,6.0,0.77,22.0,244.0,375.0,65.0,1.82,0.052,0.01,39.1,0.0,0.631,0.237,6.848,0.86,0.575,0.0,0.0,0.0,0.0,0.49,3.0,3.0,9.0,0.05,0.857,0.468,1.635,0.099,1.513,0.52,0.434,0.016,0.054,58.0
Pork_cured_salt_pork_raw,11.0,748.0,3130.0,5.05,80.5,3.65,0.0,0.0,6.0,0.44,7.0,52.0,66.0,2684.0,0.9,0.05,0.005,5.8,0.0,0.215,0.061,1.62,0.205,0.08,1.0,0.0,1.0,1.0,0.29,0.0,0.0,0.0,1.05,17.67,10.33,37.94,2.5,34.93,9.4,8.63,0.65,0.08,86.0
Pork_fresh_leg_(ham)_whole_separable_lean_only_raw,72.9,136.0,569.0,20.48,5.41,1.05,0.0,0.0,6.0,1.01,25.0,229.0,369.0,55.0,2.27,0.075,0.029,35.4,0.9,0.875,0.228,5.338,0.805,0.5,9.0,0.0,9.0,9.0,0.71,2.0,2.0,6.0,0.07,1.19,0.58,2.44,0.17,2.22,0.58,0.47,0.02,0.07,68.0
Pork_loin_fresh_backribs_bone-in_raw_lean_only,68.57,172.0,719.0,20.85,9.84,1.1,0.0,0.0,26.0,0.84,17.0,165.0,268.0,95.0,2.73,0.091,0.009,33.3,0.0,0.496,0.331,7.247,0.855,0.465,0.0,0.0,0.0,0.0,0.54,3.0,3.0,11.0,0.127,2.145,1.133,4.278,0.229,3.987,1.532,1.336,0.06,0.069,66.0
Pork_fresh_variety_meats_and_by-products_feet_raw,64.99,212.0,889.0,23.16,12.59,0.68,0.0,0.0,70.0,0.58,6.0,75.0,63.0,132.0,0.76,0.07,0.0,23.3,0.0,0.026,0.106,1.13,0.303,0.053,10.0,0.0,10.0,10.0,0.52,0.0,0.0,0.0,0.154,2.464,0.905,6.289,0.493,5.682,1.092,0.93,0.043,0.053,88.0
Pork_fresh_variety_meats_and_by-products_tail_raw,46.05,378.0,1582.0,17.75,33.5,0.5,0.0,0.0,18.0,0.99,8.0,50.0,349.0,63.0,2.31,0.084,0.011,2.7,0.0,0.21,0.11,2.06,0.673,0.37,5.0,0.0,5.0,5.0,0.88,0.0,0.0,0.0,0.53,7.6,3.51,15.8,1.22,14.58,3.68,3.19,0.28,0.21,97.0
Pork_fresh_variety_meats_and_by-products_lungs_raw,79.52,85.0,356.0,14.08,2.72,0.8,0.0,0.0,7.0,18.9,14.0,196.0,303.0,153.0,2.03,0.083,0.017,17.8,12.3,0.085,0.43,3.345,0.9,0.1,3.0,0.0,3.0,3.0,2.75,0.0,0.0,0.0,0.02,0.63,0.29,0.61,0.05,0.56,0.34,0.12,0.0,0.18,320.0
