,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg","Vitamins Vitamin C, total ascorbic acid mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, RAE µg",Vitamins Retinol µg,"Vitamins Vitamin A, IU IU",Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
Pork_fresh_composite_of_separable_fat_with_added_solution_raw,38.32,508.0,2126.0,9.27,52.33,0.72,0.0,0.0,22.0,0.47,9.0,121.0,191.0,81.0,0.9,0.055,0.006,11.1,0.0,0.204,0.103,3.23,0.611,0.275,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.646,11.205,6.252,21.538,0.985,20.184,7.532,6.785,0.328,0.118,83.0
Pork_fresh_variety_meats_and_by-products_spleen_raw,78.43,100.0,418.0,17.86,2.59,1.53,0.0,0.0,10.0,22.32,13.0,260.0,396.0,98.0,2.54,0.131,0.072,32.8,28.5,0.13,0.3,5.867,1.055,0.06,4.0,0.0,4.0,4.0,3.26,0.0,0.0,0.0,0.06,0.46,0.33,0.69,0.1,0.59,0.19,0.19,0.0,0.0,363.0
Pork_fresh_variety_meats_and_by-products_liver_raw,71.06,134.0,561.0,21.39,3.65,1.44,2.47,0.0,9.0,23.3,18.0,288.0,273.0,87.0,5.76,0.677,0.344,52.7,25.3,0.283,3.005,15.301,6.65,0.69,212.0,0.0,212.0,212.0,26.0,6502.0,6502.0,21650.0,0.02,0.44,0.7,0.52,0.03,0.46,0.87,0.35,0.03,0.44,301.0
Pork_fresh_leg_(ham)_rump_half_separable_lean_and_fat_raw,68.64,182.0,763.0,20.27,10.63,1.05,0.0,0.0,12.0,0.62,20.0,216.0,356.0,73.0,1.7,0.079,0.009,19.7,0.0,0.498,0.309,5.623,0.63,0.506,0.0,0.0,0.0,0.0,0.4,5.0,5.0,16.0,0.132,2.186,1.142,4.445,0.212,4.157,2.156,1.901,0.085,0.081,63.0
Pork_fresh_carcass_separable_lean_and_fat_raw,49.83,376.0,1573.0,13.91,35.07,0.72,0.0,0.0,19.0,0.69,13.0,155.0,253.0,42.0,1.59,0.055,0.011,28.4,0.4,0.595,0.207,3.846,0.526,0.284,4.0,0.0,4.0,4.0,0.61,2.0,2.0,8.0,0.44,7.65,4.2,15.93,0.99,14.66,3.8,3.3,0.29,0.11,74.0
Pork_fresh_variety_meats_and_by-products_heart_raw,76.21,118.0,494.0,17.27,4.36,0.84,1.33,0.0,5.0,4.68,19.0,169.0,294.0,56.0,2.8,0.408,0.063,10.4,5.3,0.613,1.185,6.765,2.515,0.39,4.0,0.0,4.0,4.0,3.79,8.0,8.0,25.0,0.08,0.59,0.45,1.02,0.1,0.9,1.12,0.77,0.08,0.27,131.0
Pork_fresh_leg_(ham)_shank_half_separable_lean_and_fat_raw,67.69,193.0,807.0,19.87,11.96,1.03,0.0,0.0,12.0,0.69,19.0,204.0,329.0,84.0,2.02,0.131,0.022,19.5,0.0,0.47,0.307,5.75,0.594,0.475,0.0,0.0,0.0,0.0,0.54,6.0,6.0,20.0,0.144,2.452,1.272,5.067,0.243,4.736,2.412,2.13,0.097,0.084,67.0
Pork_fresh_shoulder_(Boston_butt)_blade_(steaks)_separable_lean_and_fatwith_added_solution_raw,70.36,169.0,709.0,17.19,11.12,1.25,0.16,0.0,15.0,0.97,18.0,211.0,391.0,155.0,2.83,0.116,0.01,26.6,0.0,0.474,0.335,3.763,1.418,0.48,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.134,2.382,1.326,4.686,0.235,4.375,1.434,1.258,0.056,0.068,62.0
Pork_cured_ham_center_slice_country-style_separable_lean_only_raw,55.93,195.0,816.0,27.8,8.32,7.65,0.3,0.0,10.0,1.11,25.0,318.0,510.0,2695.0,2.81,0.108,0.048,25.8,0.0,0.567,0.242,3.881,0.402,0.42,5.0,0.0,5.0,5.0,0.88,0.0,0.0,0.0,0.11,1.76,0.86,3.821,0.32,3.501,0.97,0.77,0.09,0.11,70.0
Pork_fresh_backfat_raw,7.69,812.0,3397.0,2.92,88.69,0.7,0.0,0.0,2.0,0.18,2.0,38.0,65.0,11.0,0.37,0.018,0.002,8.0,0.1,0.084,0.051,0.985,0.115,0.04,1.0,0.0,1.0,1.0,0.18,5.0,5.0,15.0,1.12,19.45,11.39,41.95,2.75,38.48,10.35,9.5,0.74,0.11,57.0
