,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Minerals Manganese, Mn mg","Minerals Selenium, Se µg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Pantothenic acid mg,Vitamins Vitamin B-6 mg,"Vitamins Folate, total µg",Vitamins Folic acid µg,"Vitamins Folate, food µg","Vitamins Folate, DFE µg",Vitamins Vitamin B-12 µg,"Vitamins Vitamin A, IU IU",Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU,"Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g",Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,"Lipids Fatty acids, total trans g",Amino Acids Tryptophan g,Amino Acids Isoleucine g,Amino Acids Leucine g,Amino Acids Lysine g,Amino Acids Methionine g,Amino Acids Cystine g,Amino Acids Phenylalanine g,Amino Acids Valine g,Amino Acids Histidine g
Peanuts_all_types_raw,6.5,567.0,2374.0,25.8,49.24,2.33,16.13,92.0,4.58,168.0,376.0,705.0,18.0,3.27,1.144,1.934,7.2,0.64,0.135,12.066,1.767,0.348,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.0,6.279,24.426,23.756,15.558,15.555,0.0,0.25,0.907,1.672,0.926,0.317,0.331,1.377,1.082,0.652
Lentils_pink_or_red_raw,7.82,358.0,1498.0,23.91,2.17,3.0,63.1,48.0,7.39,59.0,294.0,668.0,7.0,3.6,1.303,1.716,0.0,0.51,0.106,1.495,0.348,0.403,204.0,0.0,204.0,204.0,0.0,58.0,0.0,0.0,0.379,0.5,0.49,1.137,0.886,0.0,0.223,1.078,1.809,1.74,0.212,0.327,1.23,1.238,0.702
Soybeans_mature_seeds_raw,8.54,446.0,1866.0,36.49,19.94,4.87,30.16,277.0,15.7,280.0,704.0,1797.0,2.0,4.89,1.658,2.517,17.8,0.874,0.87,1.623,0.793,0.377,375.0,0.0,375.0,375.0,0.0,22.0,0.0,0.0,2.884,4.404,4.348,11.255,9.925,0.0,0.591,1.971,3.309,2.706,0.547,0.655,2.122,2.029,1.097
Beans_pinto_mature_seeds_raw,11.33,347.0,1452.0,21.42,1.23,3.46,62.55,113.0,5.07,176.0,411.0,1393.0,12.0,2.28,0.893,1.148,27.9,0.713,0.212,1.174,0.785,0.474,525.0,0.0,525.0,525.0,0.0,0.0,0.0,0.0,0.235,0.229,0.229,0.407,0.17,0.0,0.237,0.871,1.558,1.356,0.259,0.187,1.095,0.998,0.556
Tofu_raw_firm_prepared_with_calcium_sulfate,69.83,144.0,603.0,17.27,8.72,1.4,2.78,683.0,2.66,58.0,190.0,237.0,14.0,1.57,0.378,1.181,17.4,0.158,0.102,0.381,0.133,0.092,29.0,0.0,29.0,29.0,0.0,166.0,0.0,0.0,1.261,1.925,1.901,4.921,4.339,0.0,0.235,0.849,1.392,0.883,0.211,0.057,0.835,0.87,0.431
Peanuts_virginia_raw,6.91,563.0,2356.0,25.19,48.75,2.61,16.54,89.0,2.55,171.0,380.0,690.0,10.0,4.43,1.112,1.696,7.1,0.653,0.131,12.375,1.759,0.346,239.0,0.0,239.0,239.0,0.0,0.0,0.0,0.0,6.434,25.58,24.692,14.877,14.654,0.0,0.245,0.886,1.633,0.904,0.309,0.323,1.306,1.057,0.637
Lima_beans_large_mature_seeds_raw,10.17,338.0,1414.0,21.46,0.69,4.3,63.38,81.0,7.51,224.0,385.0,1724.0,18.0,2.83,0.74,1.672,7.2,0.507,0.202,1.537,1.355,0.512,395.0,0.0,395.0,395.0,0.0,0.0,0.0,0.0,0.161,0.062,0.052,0.309,0.215,0.0,0.254,1.129,1.85,1.438,0.271,0.237,1.236,1.291,0.656
Beans_cranberry_(roman)_mature_seeds_raw,12.39,335.0,1402.0,23.03,1.23,3.31,60.05,127.0,5.0,156.0,372.0,1332.0,6.0,3.63,0.794,0.92,12.7,0.747,0.213,1.455,0.748,0.309,604.0,0.0,604.0,604.0,0.0,2.0,0.0,0.0,0.316,0.106,0.106,0.527,0.287,0.0,0.273,1.017,1.838,1.58,0.346,0.251,1.245,1.205,0.641
Mungo_beans_mature_seeds_raw,10.8,341.0,1427.0,25.21,1.64,3.36,58.99,138.0,7.57,267.0,379.0,983.0,38.0,3.35,0.981,1.527,8.2,0.273,0.254,1.447,0.906,0.281,216.0,0.0,216.0,216.0,0.0,23.0,0.0,0.0,0.114,0.085,0.085,1.071,0.072,0.0,0.263,1.287,2.089,1.674,0.367,0.234,1.473,1.416,0.706
Hyacinth_beans_mature_seeds_raw,9.38,344.0,1441.0,23.9,1.69,4.29,60.74,130.0,5.1,283.0,372.0,1235.0,21.0,9.3,1.335,1.573,8.2,1.13,0.136,1.61,1.237,0.155,23.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.288,0.076,0.076,0.715,0.715,0.0,0.199,1.143,2.026,1.632,0.191,0.279,1.204,1.239,0.684
