,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Vinespinach_(basella)_raw,93.1,19.0,79.0,1.8,0.3,1.4,3.4,109.0,1.2,52.0,510.0,24.0,0.05,0.155,0.5,0.0,0.0
Kohlrabi_raw,91.0,27.0,113.0,1.7,0.1,1.0,6.2,24.0,0.4,46.0,350.0,20.0,0.05,0.02,0.4,0.0,0.0
Broccoli_raab_raw,92.55,22.0,92.0,3.17,0.49,0.93,2.85,108.0,2.14,73.0,196.0,33.0,0.162,0.129,1.221,0.0,0.0
Potatoes_flesh_and_skin_raw,79.25,77.0,322.0,2.05,0.09,1.11,17.49,12.0,0.81,57.0,425.0,6.0,0.081,0.032,1.061,0.0,0.0
Cabbage_common_(danish_domestic_and_pointed_types)_freshly_harvest_raw,92.52,24.0,100.0,1.21,0.18,0.72,5.37,47.0,0.56,23.0,246.0,18.0,0.05,0.03,0.3,0.0,0.0
Yautia_(tannier)_raw,73.06,98.0,411.0,1.46,0.4,1.45,23.63,9.0,0.98,51.0,598.0,21.0,0.097,0.04,0.667,0.0,0.0
Seaweed_agar_raw,91.32,26.0,109.0,0.54,0.03,1.36,6.75,54.0,1.86,5.0,226.0,9.0,0.005,0.022,0.055,0.0,0.0
Fiddlehead_ferns_raw,88.68,34.0,143.0,4.55,0.4,0.83,5.54,32.0,1.31,101.0,370.0,1.0,0.02,0.21,4.98,0.0,0.0
Gourd_dishcloth_(towelgourd)_raw,93.85,20.0,84.0,1.2,0.2,0.4,4.35,20.0,0.36,32.0,139.0,3.0,0.05,0.06,0.4,0.0,0.0
Mushrooms_Chanterelle_raw,89.85,38.0,160.0,1.49,0.53,1.26,6.86,15.0,3.47,57.0,506.0,9.0,0.015,0.215,4.085,5.3,212.0
Peppers_hot_chili_green_raw,87.74,40.0,167.0,2.0,0.2,0.6,9.46,18.0,1.2,46.0,340.0,7.0,0.09,0.09,0.95,0.0,0.0
Succotash_(corn_and_limas)_raw,73.1,99.0,414.0,5.03,1.02,1.26,19.59,18.0,1.83,113.0,369.0,4.0,0.208,0.082,1.587,0.0,0.0
Cornsalad_raw,92.8,21.0,88.0,2.0,0.4,1.2,3.6,38.0,2.18,53.0,459.0,4.0,0.071,0.087,0.415,0.0,0.0
Corn_sweet_yellow_raw,76.05,86.0,360.0,3.27,1.35,0.62,18.7,2.0,0.52,89.0,270.0,15.0,0.155,0.055,1.77,0.0,0.0
Fennel_bulb_raw,90.21,31.0,129.0,1.24,0.2,1.05,7.3,49.0,0.73,50.0,414.0,52.0,0.01,0.032,0.64,0.0,0.0
Amaranth_leaves_raw,91.69,23.0,97.0,2.46,0.33,1.5,4.02,215.0,2.32,50.0,611.0,20.0,0.027,0.158,0.658,0.0,0.0
Tomatoes_green_raw,93.0,23.0,95.0,1.2,0.2,0.5,5.1,13.0,0.51,28.0,204.0,13.0,0.06,0.04,0.5,0.0,0.0
Soybeans_green_raw,67.5,147.0,614.0,12.95,6.8,1.7,11.05,197.0,3.55,194.0,620.0,15.0,0.435,0.175,1.65,0.0,0.0
