,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Drumstick_pods_raw,88.2,37.0,155.0,2.1,0.2,0.97,8.53,30.0,0.36,50.0,461.0,42.0,0.053,0.074,0.62,0.0,0.0
Radishes_raw,95.27,16.0,66.0,0.68,0.1,0.55,3.4,25.0,0.34,20.0,233.0,39.0,0.012,0.039,0.254,0.0,0.0
Squash_summer_zucchini_includes_skin_raw,94.79,17.0,70.0,1.21,0.32,0.58,3.11,16.0,0.37,38.0,261.0,8.0,0.045,0.094,0.451,0.0,0.0
Lemon_grass_(citronella)_raw,70.58,99.0,414.0,1.82,0.49,1.8,25.31,65.0,8.17,101.0,723.0,6.0,0.065,0.135,1.101,0.0,0.0
Mushrooms_portabella_raw,92.82,22.0,92.0,2.11,0.35,0.85,3.87,3.0,0.31,108.0,364.0,9.0,0.059,0.13,4.494,0.3,10.0
New_Zealand_spinach_raw,94.0,14.0,59.0,1.5,0.2,1.8,2.5,58.0,0.8,28.0,130.0,130.0,0.04,0.13,0.5,0.0,0.0
Squash_summer_all_varieties_raw,94.64,16.0,69.0,1.21,0.18,0.62,3.35,15.0,0.35,38.0,262.0,2.0,0.048,0.142,0.487,0.0,0.0
Potatoes_raw_skin,83.29,58.0,243.0,2.57,0.1,1.61,12.44,30.0,3.24,38.0,413.0,10.0,0.021,0.038,1.033,0.0,0.0
Pepper_banana_raw,91.81,27.0,113.0,1.66,0.45,0.73,5.35,14.0,0.46,32.0,256.0,13.0,0.081,0.054,1.242,0.0,0.0
Collards_raw,89.62,32.0,133.0,3.02,0.61,1.32,5.42,232.0,0.47,25.0,213.0,17.0,0.054,0.13,0.742,0.0,0.0
Broccoli_raw,89.3,34.0,141.0,2.82,0.37,0.87,6.64,47.0,0.73,66.0,316.0,33.0,0.071,0.117,0.639,0.0,0.0
Swamp_cabbage_(skunk_cabbage)_raw,92.47,19.0,79.0,2.6,0.2,1.6,3.14,77.0,1.67,39.0,312.0,113.0,0.03,0.1,0.9,0.0,0.0
Radishes_white_icicle_raw,95.37,14.0,59.0,1.1,0.1,0.8,2.63,27.0,0.8,28.0,280.0,16.0,0.03,0.02,0.3,0.0,0.0
